"Conjunto","Alfa","Acesso-Medio"
7,22,1.08528
7,24,1.09058
7,26,1.12195
7,28,1.12744
7,30,1.15218
7,32,1.17383
7,34,1.20762
7,36,1.22933
7,38,1.24875
7,40,1.28122
7,42,1.29632
7,44,1.33049
7,46,1.35299
7,48,1.37987
7,50,1.4006
7,52,1.45624
7,54,1.47075
7,56,1.49137
7,58,1.53123
7,60,1.55678
7,62,1.58068
7,64,1.66708
7,66,1.69982
7,68,1.84081
7,70,1.88954
7,72,1.96748
7,74,2.05875
7,76,2.1518
7,78,2.26056
7,80,2.42133
7,82,2.6108
7,84,2.7306
7,86,3.10039
7,88,3.59186
7,90,4.27572
7,92,4.68336
7,94,6.11304
7,96,8.00866
7,98,11.0053
8,2,1.04895
8,4,1.04895
8,6,1.0323
8,8,1.04895
8,10,1.04895
8,12,1.04895
8,14,1.04182
8,16,1.04895
8,18,1.0545
8,20,1.07892
8,22,1.10798
8,24,1.12804
8,26,1.16422
8,28,1.16669
8,30,1.1988
8,32,1.2269
8,34,1.24581
8,36,1.27928
8,38,1.29344
8,40,1.31618
8,42,1.34627
8,44,1.35319
8,46,1.3834
8,48,1.40068
8,50,1.46454
8,52,1.50234
8,54,1.54105
8,56,1.55202
8,58,1.62252
8,60,1.69997
8,62,1.76114
8,64,1.79352
8,66,1.86329
8,68,1.90104
8,70,1.96232
8,72,2.03963
8,74,2.1789
8,76,2.30822
8,78,2.45652
8,80,2.7048
8,82,2.9105
8,84,3.10285
8,86,3.29206
8,88,3.64295
8,90,3.84171
8,92,4.04161
8,94,4.72187
8,96,5.584
8,98,6.93388
9,2,1.04895
9,4,1.02398
9,6,1.01565
9,8,1.03646
9,10,1.06893
9,12,1.0989
9,14,1.0989
9,16,1.08641
9,18,1.09335
9,20,1.11888
9,22,1.12615
9,24,1.15718
9,26,1.18727
9,28,1.23091
9,30,1.24542
9,32,1.24563
9,34,1.28989
9,36,1.29593
9,38,1.32499
9,40,1.36364
9,42,1.45093
9,44,1.45309
9,46,1.45507
9,48,1.48601
9,50,1.50849
9,52,1.55998
9,54,1.5799
9,56,1.57878
9,58,1.60874
9,60,1.6367
9,62,1.6838
9,64,1.73889
9,66,1.8088
9,68,1.88929
9,70,1.98516
9,72,2.05073
9,74,2.09655
9,76,2.27536
9,78,2.32588
9,80,2.55619
9,82,2.89954
9,84,3.00771
9,86,3.23746
9,88,3.40455
9,90,3.8184
9,92,4.23164
9,94,5.04602
9,96,6.35614
9,98,7.87682
10,2,1.04895
10,4,1.02398
10,6,1.0323
10,8,1.03646
10,10,1.04895
10,12,1.04895
10,14,1.04895
10,16,1.06144
10,18,1.0656
10,20,1.07892
10,22,1.0989
10,24,1.1322
10,26,1.1719
10,28,1.22378
10,30,1.23543
10,32,1.24251
10,34,1.26638
10,36,1.28483
10,38,1.30133
10,40,1.32368
10,42,1.35579
10,44,1.3759
10,46,1.39643
10,48,1.4215
10,50,1.44855
10,52,1.45047
10,54,1.48185
10,56,1.56094
10,58,1.68624
10,60,1.74159
10,62,1.90938
10,64,1.97615
10,66,2.14331
10,68,2.25069
10,70,2.3291
10,72,2.39899
10,74,2.5974
10,76,2.83138
10,78,2.86252
10,80,2.93082
10,82,3.06888
10,84,3.45012
10,86,3.72418
10,88,3.82231
10,90,4.16694
10,92,4.70399
10,94,6.16192
10,96,11.1368
10,98,15.6639
11,2,1.04895
11,4,1.0989
11,6,1.08225
11,8,1.08641
11,10,1.08891
11,12,1.09058
11,14,1.10604
11,16,1.0989
11,18,1.0989
11,20,1.12388
11,22,1.15793
11,24,1.20713
11,26,1.24107
11,28,1.25945
11,30,1.26207
11,32,1.27997
11,34,1.31045
11,36,1.31258
11,38,1.34076
11,40,1.37113
11,42,1.45807
11,44,1.48942
11,46,1.51805
11,48,1.52972
11,50,1.55644
11,52,1.56382
11,54,1.5725
11,56,1.59662
11,58,1.64835
11,60,1.65168
11,62,1.68219
11,64,1.75137
11,66,1.84058
11,68,1.89957
11,70,2.02797
11,72,2.08958
11,74,2.15865
11,76,2.32136
11,78,2.47957
11,80,2.64735
11,82,2.82157
11,84,3.0529
11,86,3.34898
11,88,3.64181
11,90,4.33455
11,92,4.98523
11,94,6.06415
11,96,9.56023
11,98,16.8739
12,2,1.04895
12,4,1.07393
12,6,1.08225
12,8,1.06144
12,10,1.05894
12,12,1.05728
12,14,1.06322
12,16,1.08017
12,18,1.09335
12,20,1.12388
12,22,1.11706
12,24,1.14053
12,26,1.15654
12,28,1.17026
12,30,1.20879
12,32,1.20817
12,34,1.22231
12,36,1.23765
12,38,1.25138
12,40,1.29121
12,42,1.30584
12,44,1.31232
12,46,1.32259
12,48,1.36946
