"Conjunto","Alfa","Acesso-Medio"
7,46,1.35435
7,48,1.37917
7,50,1.426
7,52,1.45385
7,54,1.46667
7,56,1.49107
7,58,1.51034
7,60,1.52167
7,62,1.5371
7,64,1.56406
7,66,1.61667
7,68,1.69853
7,70,1.75571
7,72,1.80833
7,74,1.86486
7,76,1.89868
7,78,1.9641
7,80,2.07125
7,82,2.19634
7,84,2.27024
7,86,2.45581
7,88,2.68409
7,90,2.97444
7,92,3.13587
7,94,3.64043
7,96,4.16354
7,98,5.24388
8,2,1
8,4,1.025
8,6,1.01667
8,8,1.0375
8,10,1.04
8,12,1.04167
8,14,1.03571
8,16,1.04375
8,18,1.06111
8,20,1.075
8,22,1.09545
8,24,1.10833
8,26,1.11923
8,28,1.125
8,30,1.14333
8,32,1.15937
8,34,1.17353
8,36,1.19722
8,38,1.21053
8,40,1.2325
8,42,1.25
8,44,1.26136
8,46,1.26739
8,48,1.2875
8,50,1.318
8,52,1.32692
8,54,1.35556
8,56,1.37679
8,58,1.41034
8,60,1.46167
8,62,1.4871
8,64,1.51719
8,66,1.55152
8,68,1.59853
8,70,1.68571
8,72,1.75
8,74,1.87973
8,76,1.93553
8,78,2.00641
8,80,2.03875
8,82,2.11707
8,84,2.19881
8,86,2.34767
8,88,2.48977
8,90,2.59778
8,92,2.80761
8,94,3.20106
8,96,3.69167
8,98,4.60408
9,2,1
9,4,1
9,6,1
9,8,1.025
9,10,1.05
9,12,1.06667
9,14,1.07857
9,16,1.06875
9,18,1.07222
9,20,1.08
9,22,1.1
9,24,1.11667
9,26,1.13462
9,28,1.16786
9,30,1.19
9,32,1.19687
9,34,1.20882
9,36,1.22222
9,38,1.22368
9,40,1.2425
9,42,1.26905
9,44,1.28182
9,46,1.30217
9,48,1.31875
9,50,1.334
9,52,1.34808
9,54,1.37037
9,56,1.39643
9,58,1.44138
9,60,1.47167
9,62,1.51129
9,64,1.53594
9,66,1.57879
9,68,1.62647
9,70,1.67714
9,72,1.7125
9,74,1.76351
9,76,1.84737
9,78,1.90385
9,80,1.97875
9,82,2.04268
9,84,2.12738
9,86,2.25698
9,88,2.36477
9,90,2.51667
9,92,2.75
9,94,2.97447
9,96,3.44479
9,98,4.20816
10,2,1
10,4,1
10,6,1.01667
10,8,1.025
10,10,1.04
10,12,1.05
10,14,1.05
10,16,1.0625
10,18,1.06667
10,20,1.085
10,22,1.13636
10,24,1.15417
10,26,1.17308
10,28,1.19286
10,30,1.20333
10,32,1.21563
10,34,1.22941
10,36,1.23889
10,38,1.24211
10,40,1.2825
10,42,1.29524
10,44,1.31136
10,46,1.33478
10,48,1.35625
10,50,1.376
10,52,1.39038
10,54,1.40185
10,56,1.425
10,58,1.46897
10,60,1.48833
10,62,1.51774
10,64,1.55313
10,66,1.61364
10,68,1.65588
10,70,1.72571
10,72,1.76528
10,74,1.81081
10,76,1.93553
10,78,2.02436
10,80,2.07875
10,82,2.19268
10,84,2.30476
10,86,2.46512
10,88,2.54545
10,90,2.65222
10,92,2.82717
10,94,3.16277
10,96,4.13333
10,98,5.22449
11,2,1
11,4,1.05
11,6,1.05
11,8,1.0625
11,10,1.09
11,12,1.09167
11,14,1.1
11,16,1.09375
11,18,1.09444
11,20,1.11
11,22,1.14545
11,24,1.15833
11,26,1.21154
11,28,1.21786
11,30,1.23
11,32,1.24688
11,34,1.26471
11,36,1.26667
11,38,1.27895
11,40,1.29
11,42,1.32857
11,44,1.35455
11,46,1.37391
11,48,1.39375
11,50,1.398
11,52,1.39808
11,54,1.41481
11,56,1.42321
11,58,1.46207
11,60,1.46833
11,62,1.49355
11,64,1.52813
11,66,1.55909
11,68,1.59118
11,70,1.64143
11,72,1.68611
11,74,1.74595
11,76,1.78553
11,78,1.85
11,80,1.93375
11,82,1.99634
11,84,2.1119
11,86,2.19884
11,88,2.43068
11,90,2.57889
11,92,2.92174
11,94,3.37553
11,96,4.05208
11,98,5.42449
12,2,1
12,4,1.05
12,6,1.05
12,8,1.0375
12,10,1.05
12,12,1.05
12,14,1.05714
12,16,1.0625
12,18,1.07222
12,20,1.095
12,22,1.1
12,24,1.125
12,26,1.15385
12,28,1.16429
12,30,1.18
12,32,1.18438
12,34,1.19118
12,36,1.22778
12,38,1.23684
12,40,1.27
12,42,1.27857
12,44,1.27727
12,46,1.30435
12,48,1.35625
12,50,1.37
12,52,1.38846
12,54,1.3963
12,56,1.42857
12,58,1.46207
12,60,1.50667
12,62,1.55323
12,64,1.57656
12,66,1.61818
12,68,1.725
12,70,1.78571
12,72,1.84306
12,74,1.87838
12,76,1.98026
12,78,2.07692
12,80,2.19875
12,82,2.32683
12,84,2.39524
12,86,2.56628
12,88,2.72386
12,90,3.01
12,92,3.74891
12,94,4.20213
12,96,4.93854
12,98,5.77857
13,2,1
13,4,1.025
13,6,1.01667
13,8,1.0375
13,10,1.03
13,12,1.03333
13,14,1.03571
13,16,1.05
13,18,1.06111
13,20,1.08
13,22,1.09545
13,24,1.1
13,26,1.1
13,28,1.11786
13,30,1.11667
13,32,1.14062
13,34,1.15
13,36,1.16667
13,38,1.17105
13,40,1.21
13,42,1.21429
13,44,1.23864
13,46,1.2587
13,48,1.27292
13,50,1.29
13,52,1.32692
13,54,1.35
13,56,1.37143
13,58,1.43276
13,60,1.495
13,62,1.5129
13,64,1.56562
13,66,1.61212
13,68,1.62206
13,70,1.64429
13,72,1.6875
13,74,1.72973
13,76,1.80263
13,78,1.84872
13,80,1.97
13,82,2.11463
13,84,2.2869
13,86,2.49884
13,88,2.76364
13,90,3.00222
13,92,3.30217
13,94,3.64362
13,96,4.44583
13,98,5.88061
14,2,1
14,4,1
14,6,1.03333
14,8,1.0375
14,10,1.04
14,12,1.06667
14,14,1.05714
14,16,1.05625
14,18,1.05556
14,20,1.09
14,22,1.1
14,24,1.1
14,26,1.1
14,28,1.11429
14,30,1.14333
14,32,1.16562
14,34,1.17941
14,36,1.19444
14,38,1.21316
14,40,1.2525
