"Conjunto","Alfa","Acesso-Medio"
7,22,1.08074
7,24,1.08225
7,26,1.0989
7,28,1.10604
7,30,1.12554
7,32,1.14261
7,34,1.1606
7,36,1.17105
7,38,1.17514
7,40,1.18631
7,42,1.19167
7,44,1.20561
7,46,1.21618
7,48,1.22169
7,50,1.22478
7,52,1.2353
7,54,1.23765
7,56,1.24697
7,58,1.25392
7,60,1.25874
7,62,1.27292
7,64,1.27997
7,66,1.28356
7,68,1.29576
7,70,1.30441
7,72,1.3098
7,74,1.3176
7,76,1.32236
7,78,1.33072
7,80,1.33616
7,82,1.34743
7,84,1.34865
7,86,1.36027
7,88,1.37022
7,90,1.38306
7,92,1.38883
7,94,1.40179
7,96,1.40901
7,98,1.41899
8,2,1.04895
8,4,1.04895
8,6,1.0323
8,8,1.04895
8,10,1.04895
8,12,1.04895
8,14,1.04182
8,16,1.04895
8,18,1.0545
8,20,1.06893
8,22,1.08982
8,24,1.10306
8,26,1.10274
8,28,1.10604
8,30,1.11888
8,32,1.13636
8,34,1.14885
8,36,1.1655
8,38,1.17514
8,40,1.18881
8,42,1.1988
8,44,1.21015
8,46,1.21183
8,48,1.21961
8,50,1.24276
8,52,1.25451
8,54,1.258
8,56,1.26481
8,58,1.27287
8,60,1.28372
8,62,1.2987
8,64,1.31119
8,66,1.31686
8,68,1.32074
8,70,1.33438
8,72,1.34726
8,74,1.35
8,76,1.35522
8,78,1.36146
8,80,1.37238
8,82,1.39007
8,84,1.40098
8,86,1.41022
8,88,1.41449
8,90,1.41192
8,92,1.4214
8,94,1.42623
8,96,1.43606
8,98,1.45263
9,2,1.04895
9,4,1.02398
9,6,1.01565
9,8,1.03646
9,10,1.05894
9,12,1.07393
9,14,1.07749
9,16,1.06768
9,18,1.07115
9,20,1.08392
9,22,1.08982
9,24,1.10723
9,26,1.12195
9,28,1.14528
9,30,1.15218
9,32,1.15509
9,34,1.16354
9,36,1.17383
9,38,1.17251
9,40,1.18382
9,42,1.21307
9,44,1.21242
9,46,1.22269
9,48,1.23834
9,50,1.24276
9,52,1.24491
9,54,1.25245
9,56,1.25589
9,58,1.26253
9,60,1.27706
9,62,1.29387
9,64,1.30338
9,66,1.31232
9,68,1.31927
9,70,1.33153
9,72,1.3431
9,74,1.35
9,76,1.36311
9,78,1.36658
9,80,1.37987
9,82,1.39251
9,84,1.39028
9,86,1.39744
9,88,1.40201
9,90,1.41747
9,92,1.43118
9,94,1.43474
9,96,1.44231
9,98,1.45467
10,2,1.04895
10,4,1.02398
10,6,1.0323
10,8,1.03646
10,10,1.04895
10,12,1.04895
10,14,1.04895
10,16,1.06144
10,18,1.0656
10,20,1.07892
10,22,1.09436
10,24,1.11555
10,26,1.14117
10,28,1.16312
10,30,1.16217
10,32,1.15822
10,34,1.16354
10,36,1.17105
10,38,1.1804
10,40,1.19381
10,42,1.20356
10,44,1.21242
10,46,1.22052
10,48,1.22586
10,50,1.23277
10,52,1.23146
10,54,1.23765
10,56,1.25232
10,58,1.27114
10,60,1.28039
10,62,1.28581
10,64,1.28621
10,66,1.2987
10,68,1.30311
10,70,1.3144
10,72,1.32506
10,74,1.33785
10,76,1.34734
10,78,1.34609
10,80,1.34865
10,82,1.35962
10,84,1.37006
10,86,1.37885
10,88,1.38611
10,90,1.39527
10,92,1.40729
10,94,1.41667
10,96,1.42254
10,98,1.43836
11,2,1.04895
11,4,1.07393
11,6,1.0656
11,8,1.07393
11,10,1.06893
11,12,1.07393
11,14,1.09177
11,16,1.08017
11,18,1.08225
11,20,1.1039
11,22,1.13069
11,24,1.14053
11,26,1.16038
11,28,1.16312
11,30,1.16883
11,32,1.17695
11,34,1.18999
11,36,1.1877
11,38,1.19091
11,40,1.1963
11,42,1.22497
11,44,1.24648
11,46,1.25309
11,48,1.26332
11,50,1.26074
11,52,1.2622
11,54,1.2654
11,56,1.27373
11,58,1.2832
11,60,1.28205
11,62,1.28742
11,64,1.30338
11,66,1.30627
11,68,1.31486
11,70,1.31725
11,72,1.32368
11,74,1.3338
11,76,1.33945
11,78,1.34993
11,80,1.35864
11,82,1.36571
11,84,1.37125
11,86,1.37769
11,88,1.38952
11,90,1.40304
11,92,1.42249
11,94,1.42942
11,96,1.4371
11,98,1.45059
12,2,1.04895
12,4,1.07393
12,6,1.0656
12,8,1.04895
12,10,1.04895
12,12,1.04895
12,14,1.05609
12,16,1.06768
12,18,1.08225
12,20,1.09391
12,22,1.08982
12,24,1.11139
12,26,1.12964
12,28,1.14172
12,30,1.15884
12,32,1.15509
12,34,1.1606
12,36,1.17105
12,38,1.1804
12,40,1.2013
12,42,1.20832
12,44,1.20561
12,46,1.21183
12,48,1.21961
12,50,1.22677
12,52,1.2353
12,54,1.23765
12,56,1.25054
12,58,1.25909
12,60,1.26707
12,62,1.27937
