"Conjunto","Alfa","Acesso-Medio"
7,32,1.13166
7,34,1.14201
7,36,1.14804
7,38,1.17725
7,40,1.18593
7,42,1.20096
7,44,1.20776
7,46,1.22271
7,48,1.2364
7,50,1.24498
7,52,1.25676
7,54,1.2658
7,56,1.28853
7,58,1.29758
7,60,1.32441
7,62,1.33657
7,64,1.35737
7,66,1.3921
7,68,1.40177
7,70,1.4175
7,72,1.43654
7,74,1.4559
7,76,1.47952
7,78,1.49292
7,80,1.50941
7,82,1.52999
7,84,1.55078
7,86,1.57293
7,88,1.58951
7,90,1.61538
7,92,1.6325
7,94,1.65955
7,96,1.68025
7,98,1.69908
8,2,1
8,4,1
8,6,1.0339
8,8,1.03797
8,10,1.0404
8,12,1.04202
8,14,1.05036
8,16,1.0566
8,18,1.0838
8,20,1.10553
8,22,1.10959
8,24,1.11297
8,26,1.10811
8,28,1.12545
8,30,1.13043
8,32,1.14107
8,34,1.15976
8,36,1.17877
8,38,1.18254
8,40,1.18844
8,42,1.19139
8,44,1.21918
8,46,1.23362
8,48,1.24268
8,50,1.25703
8,52,1.26255
8,54,1.26952
8,56,1.28136
8,58,1.2872
8,60,1.301
8,62,1.3123
8,64,1.32602
8,66,1.34498
8,68,1.36632
8,70,1.41176
8,72,1.43096
8,74,1.44233
8,76,1.45839
8,78,1.47104
8,80,1.48934
8,82,1.51408
8,84,1.54958
8,86,1.57293
8,88,1.58723
8,90,1.59978
8,92,1.61069
8,94,1.64674
8,96,1.67398
8,98,1.69703
9,2,1
9,4,1
9,6,1
9,8,1.02532
9,10,1.0202
9,12,1.03361
9,14,1.03597
9,16,1.04403
9,18,1.07263
9,20,1.09045
9,22,1.10502
9,24,1.11297
9,26,1.13127
9,28,1.15412
9,30,1.18395
9,32,1.19436
9,34,1.21598
9,36,1.21788
9,38,1.22222
9,40,1.21608
9,42,1.22967
9,44,1.23516
9,46,1.24672
9,48,1.26151
9,50,1.27108
9,52,1.27992
9,54,1.30483
9,56,1.319
9,58,1.3391
9,60,1.3495
9,62,1.35275
9,64,1.35893
9,66,1.3693
9,68,1.4003
9,70,1.41033
9,72,1.43096
9,74,1.44369
9,76,1.45443
9,78,1.47748
9,80,1.49812
9,82,1.51285
9,84,1.52449
9,86,1.52975
9,88,1.53706
9,90,1.5563
9,92,1.57797
9,94,1.59658
9,96,1.62173
9,98,1.65609
10,2,1
10,4,1.02564
10,6,1.0678
10,8,1.05063
10,10,1.10101
10,12,1.11765
10,14,1.1295
10,16,1.13208
10,18,1.15084
10,20,1.1608
10,22,1.16438
10,24,1.17573
10,26,1.18919
10,28,1.20072
10,30,1.19732
10,32,1.22571
10,34,1.23669
10,36,1.25698
10,38,1.2619
10,40,1.26884
10,42,1.29665
10,44,1.3105
10,46,1.32751
10,48,1.33264
10,50,1.35141
10,52,1.35328
10,54,1.3829
10,56,1.39247
10,58,1.41176
10,60,1.41472
10,62,1.4288
10,64,1.44671
10,66,1.46353
10,68,1.49335
10,70,1.50789
10,72,1.52859
10,74,1.54681
10,76,1.57596
10,78,1.58172
10,80,1.59724
10,82,1.62056
10,84,1.63441
10,86,1.65344
10,88,1.67731
10,90,1.69454
10,92,1.7132
10,94,1.73426
10,96,1.77011
10,98,1.78608
11,2,1
11,4,1.02564
11,6,1.05085
11,8,1.06329
11,10,1.08081
11,12,1.08403
11,14,1.10072
11,16,1.10063
11,18,1.12291
11,20,1.12563
11,22,1.12329
11,24,1.12971
11,26,1.13514
11,28,1.14337
11,30,1.17726
11,32,1.18495
11,34,1.19527
11,36,1.19553
11,38,1.21164
11,40,1.23116
11,42,1.24163
11,44,1.25571
11,46,1.26638
11,48,1.28033
11,50,1.29116
11,52,1.3166
11,54,1.34015
11,56,1.35125
11,58,1.35813
11,60,1.36789
11,62,1.37864
11,64,1.39342
11,66,1.41185
11,68,1.42097
11,70,1.44046
11,72,1.4477
11,74,1.46269
11,76,1.48217
11,78,1.4955
11,80,1.51568
11,82,1.53488
11,84,1.54719
11,86,1.56826
11,88,1.59635
11,90,1.61761
11,92,1.63141
11,94,1.65422
11,96,1.67085
11,98,1.69806
12,2,1
12,4,1
12,6,1
12,8,1.03797
12,10,1.0404
12,12,1.06723
12,14,1.07914
12,16,1.08805
12,18,1.08939
12,20,1.1005
12,22,1.10959
12,24,1.10879
12,26,1.10811
