"Conjunto","Alfa","Acesso-Medio"
6,38,1.22751
6,40,1.25377
6,42,1.30622
6,44,1.34475
6,46,1.36681
6,48,1.38494
6,50,1.41365
6,52,1.43629
6,54,1.45539
6,56,1.47133
6,58,1.51557
6,60,1.56856
6,62,1.59547
6,64,1.60815
6,66,1.66261
6,68,1.69424
6,70,1.75036
6,72,1.82566
6,74,1.87517
6,76,1.96301
6,78,2.06049
6,80,2.1744
6,82,2.29988
6,84,2.52927
6,86,2.67445
6,88,2.82896
6,90,3.12486
6,92,3.71865
6,94,4.10139
6,96,5.76071
6,98,6.99693
7,2,1
7,4,1
7,6,1
7,8,1.03797
7,10,1.06061
7,12,1.05042
7,14,1.05036
7,16,1.05031
7,18,1.05587
7,20,1.06533
7,22,1.06849
7,24,1.09623
7,26,1.10039
7,28,1.13262
7,30,1.14047
7,32,1.15987
7,34,1.1716
7,36,1.17877
7,38,1.21429
7,40,1.24372
7,42,1.27033
7,44,1.28995
7,46,1.31004
7,48,1.3431
7,50,1.36145
7,52,1.39382
7,54,1.40892
7,56,1.48029
7,58,1.50692
7,60,1.5602
7,62,1.63592
7,64,1.66771
7,66,1.74924
7,68,1.81536
7,70,1.8967
7,72,2.01674
7,74,2.04478
7,76,2.17701
7,78,2.27671
7,80,2.52823
7,82,2.66463
7,84,2.75149
7,86,3.35473
7,88,3.73204
7,90,4.05128
7,92,4.91385
7,94,5.87727
7,96,7.39707
7,98,10.1382
8,2,1
8,4,1
8,6,1.0339
8,8,1.03797
8,10,1.0404
8,12,1.04202
8,14,1.05755
8,16,1.06289
8,18,1.09497
8,20,1.11558
8,22,1.11872
8,24,1.12134
8,26,1.12741
8,28,1.13978
8,30,1.1505
8,32,1.16301
8,34,1.18935
8,36,1.20112
8,38,1.20106
8,40,1.21106
8,42,1.21292
8,44,1.24201
8,46,1.28603
8,48,1.30962
8,50,1.35141
8,52,1.37259
8,54,1.4052
8,56,1.4319
8,58,1.4654
8,60,1.51003
8,62,1.53883
8,64,1.60502
8,66,1.63374
8,68,1.67799
8,70,1.82783
8,72,1.93166
8,74,2
8,76,2.07926
8,78,2.20849
8,80,2.28356
8,82,2.46879
8,84,2.58901
8,86,2.73629
8,88,2.97719
8,90,3.31996
8,92,3.74918
8,94,4.16969
8,96,5.30825
8,98,7.85875
9,2,1
9,4,1
9,6,1
9,8,1.02532
9,10,1.0202
9,12,1.03361
9,14,1.03597
9,16,1.05031
9,18,1.07821
9,20,1.1005
9,22,1.11416
9,24,1.12552
9,26,1.14286
9,28,1.14695
9,30,1.17726
9,32,1.19749
9,34,1.23077
9,36,1.26257
9,38,1.27249
9,40,1.27136
9,42,1.30861
9,44,1.33105
9,46,1.3559
9,48,1.38285
9,50,1.41365
9,52,1.42857
9,54,1.46097
9,56,1.50896
9,58,1.55536
9,60,1.58361
9,62,1.63592
9,64,1.64734
9,66,1.7386
9,68,1.81093
9,70,1.88379
9,72,1.97211
9,74,2.1791
9,76,2.21929
9,78,2.35006
9,80,2.55709
9,82,2.71481
9,84,2.90442
9,86,3.11085
9,88,3.52223
9,90,4.01338
9,92,4.37732
9,94,5.8794
9,96,7.97283
9,98,9.86899
10,2,1
10,4,1.02564
10,6,1.0678
10,8,1.05063
10,10,1.10101
10,12,1.10084
10,14,1.1223
10,16,1.1195
10,18,1.15642
10,20,1.1809
10,22,1.19178
10,24,1.20921
10,26,1.21622
10,28,1.24014
10,30,1.23746
10,32,1.28213
10,34,1.28107
10,36,1.32402
10,38,1.34921
10,40,1.40201
10,42,1.44498
10,44,1.46347
10,46,1.49563
10,48,1.52301
10,50,1.57631
10,52,1.5888
10,54,1.66729
10,56,1.67742
10,58,1.75952
10,60,1.801
10,62,1.83495
10,64,1.91536
10,66,2.00152
10,68,2.13442
10,70,2.25395
10,72,2.28731
10,74,2.42062
10,76,2.54822
10,78,2.70013
10,80,2.80678
10,82,2.98286
10,84,3.10275
10,86,3.32205
10,88,3.57583
10,90,4.09922
